sentences,processed_sentences,risk_label
project delays carry severe financial consequences.,project delay carry severe financial consequence,0
"according to a 2016 report by the texas aandm transpor- tation institute, project delay is estimated to cost $87,000 per month for small projects (e.g., reconstruction), $420,000 per month for medium-sized projects (e.g., widening) and $1.3 million per month for large projects.",accord to a report by the texas aandm transpor tation institute project delay be estimate to cost per month for small project e g reconstruction per month for medium sized project e g widen and million per month for large project,0
both political parties recognized that the current system was simply too long and too expensive for delivering transportation projects that improve mobility and safety.,both political party recognize that the current system be simply too long and too expensive for deliver transportation project that improve mobility and safety,0
"as such, finding meaningful ways to expedite this pro-cess has been a congressional priority for more than 15 years.",as such find meaningful way to expedite this pro cess have be a congressional priority for more than year,0
"with that in mind, artba recommends the following enhancements to the project delivery process be considered by this committee as the fast act reauthorization process moves forward.",with that in mind artba recommend the follow enhancement to the project delivery process be consider by this committee as the fast act reauthorization process move forward,0
"congress should direct u.s. dot to survey current initiatives at improving clarity in nepa documents (includ-ing nepa ""plain language"" efforts within the current administration and a similar department-wide initiative within u.s. dot dating back more than 20 years) and set standards to reduce unnecessary length and complexity.",congress should direct u s dot to survey current initiative at improve clarity in nepa document includ ing nepa plain language effort within the current administration and a similar department wide initiative within u s dot date back more than year and set standard to reduce unnecessary length and complexity,0
establish clear timelines for nepa reviews past reauthorization bills have set enforceable deadlines for permitting decisions.,establish clear timeline for nepa reviews past reauthorization bill have set enforceable deadline for permit decision,0
"however, there remains no set legislative time limit for the completion of nepa documents.",however there remain no set legislative time limit for the completion of nepa document,0
"
statutorily requiring timelines would add predictabili-ty to the nepa process and allow project planners to more accurately plan schedules for environmental review.",statutorily require timeline would add predictabili ty to the nepa process and allow project planner to more accurately plan schedule for environmental review,0
"some states have used dispute resolution boards (drbs) as part of their contract administration strat-  transit hearing; ""oversight of the federal transit administration's implementation of the c....",some state have use dispute resolution board drb as part of their contract administration strat transit hearing oversight of the federal transit administration s implementation of the c,0
"
allow for a de minimis waiver of ""buy america"" requirements the buy america law, dating to the early 1980's, requires that steel or iron components ""permanently incorporat-ed"" in federal-aid highway and transit projects be manufactured in the united states, subject to possible waivers and exemptions.",allow for a de minimis waiver of buy america requirement the buy america law date to the early s require that steel or iron component permanently incorporat ed in federal aid highway and transit project be manufacture in the united states subject to possible waiver and exemption,0
"codifying a waiver for these products would save on these compliance costs, while preserving and reaffirming the law's coverage of core project materials and components, which artba supports.",codify a waiver for these product would save on these compliance cost while preserve and reaffirm the law s coverage of core project material and component which artba support,0
"congress should waive buy america requirements for ""commercially available off-the-shelf"" (cots) items per- manently incorporated in federal-aid highway and transit projects.",congress should waive buy america requirement for commercially available off the shelf cot item per manently incorporate in federal aid highway and transit project,0
this waiver should not be intended to preempt or compromise project specifications or quality standards relating to these items.,this waiver should not be intend to preempt or compromise project specification or quality standard relate to these item,0
"exempting cots items from buy america requirements will ensure the law protects domestic manufacturing interests while not causing project cost increases and delays relating to small, inexpensive compo- nents.",exempt cots item from buy america requirement will ensure the law protect domestic manufacturing interest while not cause project cost increase and delay relate to small inexpensive compo nent,0
"additional recommendations in addition to regulatory reforms, we ask you to consider numerous programmatic changes to the cig program, including: * transit capital grants programs should be limited to true capital investments - i.e. ones that have an amor-tized useful life.",additional recommendation in addition to regulatory reform we ask you to consider numerous programmatic change to the cig program include transit capital grant program should be limit to true capital investment i e one that have an amor tized useful life,0
they should not be used to offset more routine transit system operating expenditures under the catch all of preventive maintenance.,they should not be use to offset more routine transit system operating expenditure under the catch all of preventive maintenance,0
"
only those phases of the project that are federally funded should be subject to federal oversight.",only those phase of the project that be federally funded should be subject to federal oversight,0
"* historically, transit projects have been allowed to use federal loan programs such as tifia and rrif as local match.",historically transit project have be allow to use federal loan program such as tifia and rrif as local match,0
"recent denial of such flexibility has delayed some critically important projects, which only in-creases their eventual cost and schedule.",recent denial of such flexibility have delay some critically important project which only in crease their eventual cost and schedule,1
"since the loans are repaid with local dollars, they should be allowed to be counted as local match.",since the loan be repay with local dollar they should be allow to be count as local match,0
"these program changes would help ensure a consistent national focus for cig projects and maximize limit-ed federal resources through improved efficiency and better leverage these dollars with state, local and private funds.",these program change would help ensure a consistent national focus for cig project and maximize limit ed federal resource through improved efficiency and well leverage these dollar with state local and private fund,0
"
* it is time to stop talking and start acting.",it be time to stop talk and start act,0
"artba and its members look forward to working with you and the rest of your colleagues on these ideas as the subcom-mittee develops and enacts a long-term highway trust fund fix and implements policy changes that enable much-needed capital investment programs as well as other highway, bridge and public transportation improve-ments to move forward on time and at budget.",artba and its member look forward to work with you and the rest of your colleague on these idea as the subcom mittee develop and enact a long term highway trust fund fix and implement policy change that enable much need capital investment program as well as other highway bridge and public transportation improve ment to move forward on time and at budget,0
the travelling american public deserves no less.,the travel american public deserve no less,0
"read this original document at: https://transportation.house.gov/download/testimony_-algeranddownload=1 load-date: july 17, 2019 end of document",read this original document at https transportation house gov download testimony algeranddownload load date july end of document,0
transit advocates say that the streetcar grant the city recently received makes charlotte a greater candidate for funding in the future.,transit advocate say that the streetcar grant the city recently receive make charlotte a great candidate for funding in the future,0
"in the meantime, the future for the other projects outlined in the 2030 plan, like the streetcar line to the airport and the lynx silver line or rapid-bus transit down independence boulevard, will have to be re-examined and may be delayed, she said.",in the meantime the future for the other project outline in the plan like the streetcar line to the airport and the lynx silver line or rapid bus transit down independence boulevard will have to be re examine and may be delay she say,0
"""there is the possibility that the five-spoke plan may have to be amended or changed after we look at the funding.",there be the possibility that the five spoke plan may have to be amend or change after we look at the funding,0
""" however, barnes emphasizes that the delay does not mean the projects will be abandoned, particularly the independence boulevard one.",however barne emphasize that the delay do not mean the project will be abandon particularly the independence boulevard one,0
"despite the lack of funds, muth asserts that cats' vision has not changed.",despite the lack of fund muth assert that cat vision have not change,1
"""our motto right now is pretty much 'quack quack quack,' we're pretty much done for this week,"" hughes joked, as if only ducks are equipped to navigate the puddles of standing water all along the rail corridor's 22-mile length.",our motto right now be pretty much quack quack quack we be pretty much do for this week hughes joke as if only duck be equip to navigate the puddle of standing water all along the rail corridor s mile length,0
"the construction company had planned to replace the sprinter's first railroad crossing at hale avenue in escondido last weekend, he said.",the construction company have plan to replace the sprinter s first railroad crossing at hale avenue in escondido last weekend he say,0
rain has also plagued efforts to fix the transit district's north-south rail line from oceanside to san diego.,rain have also plague effort to fix the transit district s north south rail line from oceanside to san diego,1
"16 a freight train derailed near miramar, damaging a crucial rail switch.",a freight train derail near miramar damage a crucial rail switch,0
the delay forced the transit district to cancel eight of its 22 daily coaster trains because of slowdowns caused by the lingering effects of the derailment.,the delay force the transit district to cancel eight of its daily coaster train because of slowdown cause by the linger effect of the derailment,0
transit district spokesman tom kelleher said wednesday that conditions around the broken switch have not gotten noticeably better this week.,transit district spokesman tom kelleher say wednesday that condition around the broken switch have not get noticeably well this week,0
"however, with another storm expected to arrive today, rail repair crews planned to replace the switch last night, despite mud and muck.",however with another storm expect to arrive today rail repair crew plan to replace the switch last night despite mud and muck,0
"""but i am not aware of any report at this time."" the north county transit district is currently about halfway through the construction process to build the 22-mile sprinter line that is scheduled to begin carrying passengers by december 2007.",but i be not aware of any report at this time the north county transit district be currently about halfway through the construction process to build the mile sprinter line that be schedule to begin carry passenger by december,0
"""we really haven't made that determination yet,"" day-wilson said.",we really have not make that determination yet day wilson say,0
the final price tag closes one chapter in the sprinter's long and contested financial history.,the final price tag close one chapter in the sprinter s long and contest financial history,0
"while critics and taxpayer advocates have panned the project as a behemoth waste, nctd leaders and transit advocates say the sprinter is a long-term investment that will benefit the region for generations to come.",while critic and taxpayer advocate have pan the project as a behemoth waste nctd leader and transit advocate say the sprinter be a long term investment that will benefit the region for generation to come,0
"""i certainly, in the early days, was very frustrated with the project,"" said bob campbell, chairman of the agency's board.",i certainly in the early day be very frustrated with the project say bob campbell chairman of the agency s board,0
"in february 2009, authority officials were worried they might have to stop work and mothball the unfinished tunnels and stations.",in february authority official be worry they may have to stop work and mothball the unfinished tunnel and station,0
"things turned around last year, when bids started coming in lower as contractors scrambled for work in a slumping economy.",thing turn around last year when bid start come in lower as contractor scramble for work in a slump economy,0
"the connector also got a $62.5 million boost from the federal economic stimulus legislation, the american recovery and reinvestment act.",the connector also get a million boost from the federal economic stimulus legislation the american recovery and reinvestment act,0
the line would connect downtown pittsburgh with the north shore via tunnels under the allegheny river.,the line would connect downtown pittsburgh with the north shore via tunnel under the allegheny river,0
"the alternative is another bridge to nowhere, a name given to pittsburgh's fort duquesne bridge after it was left unfinished for years in the 1960s because of construction delays.",the alternative be another bridge to nowhere a name give to pittsburgh s fort duquesne bridge after it be leave unfinished for year in the because of construction delay,0
the tunnel project calls for trains to run 1.2 miles from a station on stanwix street downtown under the river to an underground station across from pnc park.,the tunnel project call for train to run mile from a station on stanwix street downtown under the river to an underground station across from pnc park,0
"from there, it would run west on an elevated track to a stop on allegheny avenue near heinz field.",from there it would run west on an elevated track to a stop on allegheny avenue near heinz field,0
"
he said it would cost about $20 million to stop the job, which would include sealing the tunnels and closing up other points of construction on each side of the river.",he say it would cost about million to stop the job which would include seal the tunnel and close up other point of construction on each side of the river,0
"""so it's $320 million for nothing, or $117 million to finish it and have a transportation facility that will serve the region over the next 100 years,"" he said.",so it be million for nothing or million to finish it and have a transportation facility that will serve the region over the next year he say,0
"""that's really what it comes down to."" the authority has projected that each month of delayed construction would inflate costs by $3.5 million.",that be really what it come down to the authority have project that each month of delay construction would inflate cost by million,0
"it hasn't estimated the cost of reopening the project after a stoppage, but bland said it would be considerable.",it have not estimate the cost of reopen the project after a stoppage but bland say it would be considerable,0
bland could not offer odds on pat receiving the necessary cash.,bland could not offer odd on pat receive the necessary cash,0
"
 --the port authority of allegheny county has announced its north shore connector project is $117 million over budget, and work will have to stop unless the project receives a cash infusion from the economic stimulus plan proposed by president obama.",the port authority of allegheny county have announce its north shore connector project be million over budget and work will have to stop unless the project receive a cash infusion from the economic stimulus plan propose by president obama,1
--pat has applied for funding through the plan and has enough cash in its budget to work through the 2009 construction season.,pat have apply for funding through the plan and have enough cash in its budget to work through the construction season,0
"copyright (c) 2009, beaver county times, pa. distributed by mcclatchy-tribune information services.",copyright c beaver county times pa distribute by mcclatchy tribune information service,0
"for example: - from the day in 1995 when the federal government financially committed to salt lake city's first light-rail line, things could not have turned out better.",for example from the day in when the federal government financially commit to salt lake city s first light rail line thing could not have turn out well,0
"not only did the project finish $23 million under budget, it was done a year early.",not only do the project finish million under budget it be do a year early,0
"- but then there is san francisco's attempt to extend a heavy-rail line 9 miles to the airport _ a project that, when reviewed by the u.s. general accounting office (gao) in march, was $316 million over budget and at least nine months behind schedule.",but then there be san francisco s attempt to extend a heavy rail line mile to the airport a project that when review by the u s general accounting office gao in march be million over budget and at least nine month behind schedule,0
"""you got major, major problems coming out of this,"" said tom rubin, an independent transportation consultant based in california.",you get major major problem come out of this say tom rubin an independent transportation consultant base in california,0
the planned 11.6-mile hiawatha light-rail line between downtown minneapolis and the mall of america in bloomington awaits only a full-funding grant agreement from the federal transit administration (fta) _ the last hurdle for the project.,the plan mile hiawatha light rail line between downtown minneapolis and the mall of america in bloomington await only a full funding grant agreement from the federal transit administration fta the last hurdle for the project,1
"
if congress doesn't intervene, and it's not expected to, the fta will sign the agreement in january.",if congress do not intervene and it be not expect to the fta will sign the agreement in january,0
another transit project facing problems is the first phase of a 1.5-mile underground bus transitway in boston.,another transit project face problem be the first phase of a mile underground bus transitway in boston,0
"that project, now three years behind schedule, received a full-funding grant agreement in 1994 when it had a $413 million price tag.",that project now three year behind schedule receive a full funding grant agreement in when it have a million price tag,0
"in a gao report issued in november on the 1-mile first phase, the project's cost was listed at $601 million.",in a gao report issue in november on the mile first phase the project s cost be list at million,0
"transit projects: on track or off course as the hiawatha line nears final approval, a federal survey finds budgetary successes and failures among rail lines.",transit project on track or off course as the hiawatha line near final approval a federal survey find budgetary success and failure among rail line,0
here's a look at how six mass transit projects have fared in terms of meeting budget and opening on time.,here be a look at how six mass transit project have fare in term of meet budget and opening on time,0
each project received a full-funding grant agreement from the federal government _ the same agreement the twin cities area's hiawatha line awaits.,each project receive a full funding grant agreement from the federal government the same agreement the twin city area s hiawatha line await,0
"a federal general accounting office report in 1999 showed that of 14 transit projects with full-funding grant agreements, six had ended up costing more than was budgeted.",a federal general accounting office report in show that of transit project with full funding grant agreement six have end up cost more than be budget,0
"
2003 6.3-mile light-rail line extension million million 2-3 months early reason for success: city has had light-rail service since 1987 and had already extended the line.",mile light rail line extension million million month early reason for success city have have light rail service since and have already extend the line,0
my first job was to look at the budgets and the schedule and determine their viability.,my first job be to look at the budget and the schedule and determine their viability,0
"it was voted and approved by the board in june of 2009 and we have stayed on course since that time,"" explained horodniceanu.",it be vote and approve by the board in june of and we have stay on course since that time explain horodniceanu,0
"""the real construction started in 2008 and we put a shovel into the ground."" the second avenue subway project is 95 percent complete, the last 5 percent, horodniceanu said, is still a challenge.",the real construction start in and we put a shovel into the ground the second avenue subway project be percent complete the last percent horodniceanu say be still a challenge,0
the line needs to be tested; every aspect must be tested to ensure that the procedures are up to mta's standards.,the line need to be test every aspect must be test to ensure that the procedure be up to mta s standard,0
"""we needed to put an additive to delay the chemical reaction that will harden the cement with the aggregate in the concrete,"" said horodniceanu.",we need to put an additive to delay the chemical reaction that will harden the cement with the aggregate in the concrete say horodniceanu,0
"""then we brought the truck to the site, which took time, and because of the demand of the job, you need to have tracks lined up one after another to pump the concrete.",then we bring the truck to the site which take time and because of the demand of the job you need to have track line up one after another to pump the concrete,0
"so you put an additive to extend the time, but when you pour it you need to put an accelerator to pour it to reverse the reaction."" flowing with the city ""one of the biggest accomplishments thus far with the second avenue subway has been maintaining the project schedule and budget on a program of this size, with construction of three new stations and reconstruction of one existing station taking place in a 24-hour environment with the disruption to the community overall being minimized,"" said dalton.",so you put an additive to extend the time but when you pour it you need to put an accelerator to pour it to reverse the reaction flow with the city one of the big accomplishment thus far with the second avenue subway have be maintain the project schedule and budget on a program of this size with construction of three new station and reconstruction of one exist station take place in a hour environment with the disruption to the community overall be minimize say dalton,0
"""we're doing it as fast as it can be done, based on the market,"" said frank kass, chairman of continental real estate.",we be do it as fast as it can be do base on the market say frank kass chairman of continental real estate,0
the real estate developer last friday asked the stadium authority to allow it to buy 3.53 acres at the corner of tony dorsett and north shore drives for $1.3 million.,the real estate developer last friday ask the stadium authority to allow it to buy acre at the corner of tony dorsett and north shore drive for million,0
"the authority delayed a decision for 45 days, in part, to determine if its contract with the steelers and pirates has been broken because of the development delays.",the authority delay a decision for day in part to determine if its contract with the steeler and pirate have be break because of the development delay,0
"kass said continental is ready to develop the $27.5 million, 178-room hyatt hotel and to pay an additional $1 million to buy land at the corner of art rooney avenue and north shore drive, where the steelers want the entertainment complex built.",kass say continental be ready to develop the million room hyatt hotel and to pay an additional million to buy land at the corner of art rooney avenue and north shore drive where the steeler want the entertainment complex build,0
"""we had this hotel deal ready to go for six months,"" kass said.",we have this hotel deal ready to go for six month kass say,0
"maybe."" he cited two reasons for the delay: ?",maybe he cite two reason for the delay,0
construction on the port authority's $435 million north shore connector project has disrupted continental's ability to develop two parcels of land along reedsdale street.,construction on the port authority s million north shore connector project have disrupt continental s ability to develop two parcel of land along reedsdale street,0
"the steelers received a $4 million state grant in 2004 to build an amphitheater on 3.82 acres, but the team now wants to build a different type of entertainment venue.",the steeler receive a million state grant in to build an amphitheater on acre but the team now want to build a different type of entertainment venue,0
the steelers gave the grant money to the stadium authority to help it build a parking garage that replaced parking spots eliminated by the constructions of the del monte and equitable buildings.,the steeler give the grant money to the stadium authority to help it build a parking garage that replace parking spot eliminate by the construction of the del monte and equitable building,0
"
jake wheatley, d-hill district, a stadium authority board member, said the authority doesn't want to break its partnership with the teams and continental.",jake wheatley d hill district a stadium authority board member say the authority do not want to break its partnership with the team and continental,0
wheatley said the board is pleased with the proposed hyatt hotel.,wheatley say the board be pleased with the propose hyatt hotel,0
"he said the stadium authority has been timely in meeting its obligations to provide enough parking on the north shore to replace what has been eliminated by new buildings; continental, therefore, should respond in kind.",he say the stadium authority have be timely in meet its obligation to provide enough parking on the north shore to replace what have be eliminate by new building continental therefore should respond in kind,0
"""we've had to meet our time schedule, and so i think that the developer needs to meet their time schedule,"" wheatley said.",we have have to meet our time schedule and so i think that the developer need to meet their time schedule wheatley say,0
the elusive second avenue subway line has been held up for decades by political turf wars and ill-timed recessions.,the elusive second avenue subway line have be hold up for decade by political turf war and ill time recession,1
now frustrated new yorkers can add another culprit to the list: plumbing.,now frustrated new yorkers can add another culprit to the list plumbing,0
"the utilities, within privately owned buildings or beneath second avenue itself, must be moved to make room for the first phase of the subway line, a 1.7-mile route between 96th street and an existing station at lexington avenue and 63rd street.",the utility within privately own building or beneath second avenue itself must be move to make room for the first phase of the subway line a mile route between th street and an exist station at lexington avenue and rd street,0
"kluger, who admitted ''frustration'' over the project's progress, also found that the transportation authority's troubles in awarding contracts have added $120 million to the bill and extended its completion date by a full year.",kluger who admit frustration over the project s progress also find that the transportation authority s trouble in award contract have add million to the bill and extend its completion date by a full year,1
mr. kluger's findings offer a rare glimpse at the item-by-item causes for the enormous financial woes plaguing the project.,mr kluger s finding offer a rare glimpse at the item by item cause for the enormous financial woe plague the project,0
"federal officials now believe the first phase of the subway line will cost about $4.98 billion, nearly $1 billion more than the original estimate in 2007, when federal financing was secured for the project.",federal official now believe the first phase of the subway line will cost about billion nearly billion more than the original estimate in when federal financing be secure for the project,0
"federal officials now estimate the first phase of work will be completed in february 2018, while transportation authority officials have put the date at no later than july 2017.",federal official now estimate the first phase of work will be complete in february while transportation authority official have put the date at no later than july,0
"mr. kluger disclosed his conclusions in a letter sent last month to the manhattan borough president, scott m. stringer, who asked the inspector general to examine some of the reasons behind the project's delays.",mr kluger disclose his conclusion in a letter send last month to the manhattan borough president scott m stringer who ask the inspector general to examine some of the reason behind the project s delay,0
''what due diligence didn't happen that we are having these cost overruns?'' mr. stringer said in an interview.,what due diligence do not happen that we be have these cost overrun mr stringer say in an interview,0
"rogoff, the administrator of the federal transit administration, pledged not to spend ''a single penny'' of federal funds to cover delays and cost overruns on the second avenue subway or a new long island rail road station beneath grand central terminal.",rogoff the administrator of the federal transit administration pledge not to spend a single penny of federal fund to cover delay and cost overrun on the second avenue subway or a new long island rail road station beneath grand central terminal,0
the inspector general is in the midst of a broader review of the authority's construction practices.,the inspector general be in the midst of a broad review of the authority s construction practice,0
"""it appears clear that the geotechnical company made a mistake, and they should be held liable."" port authority spent $2.3 million fixing its soil problem by dumping cement into the ground.",it appear clear that the geotechnical company make a mistake and they should be hold liable port authority spend million fix its soil problem by dump cement into the ground,1
the authority planned to start digging in fall 2006 but did not start until jan.,the authority plan to start dig in fall but do not start until jan,0
"the district is ready to begin construction of the sprinter light-rail line, a 22-mile route connecting inland escondido with oceanside on the coast, district spokesman tom kelleher said.",the district be ready to begin construction of the sprint light rail line a mile route connect inland escondido with oceanside on the coast district spokesman tom kelleher say,0
"still, the $351 million project-financing plan depends on an $80 million grant from the state's transportation congestion relief program -- a program seriously jeopardized by california's budget woes.",still the million project finance plan depend on an million grant from the state s transportation congestion relief program a program seriously jeopardize by california s budget woe,1
"17--the sprinter light-rail line is inching toward its first milestone, nearly one month behind schedule.",the sprinter light rail line be inch toward its first milestone nearly one month behind schedule,0
"according to a schedule provided by the north county transit district, construction crews were supposed to finish installing a 1,500-foot freight storage track in escondido by march 21.",accord to a schedule provide by the north county transit district construction crew be suppose to finish instal a foot freight storage track in escondido by march,0
"though officials said the project should finally be completed friday, attempts to confirm completion saturday afternoon were unsuccessful.",though official say the project should finally be complete friday attempt to confirm completion saturday afternoon be unsuccessful,0
"""we can't do earthwork in the rain."" based on the delay in completing the storage tracks, which will allow three escondido companies to store up to 30 train cars of raw materials, sprinter construction appears to be nearly four weeks behind schedule, although no one can say for sure.",we can not do earthwork in the rain base on the delay in complete the storage track which will allow three escondido company to store up to train car of raw material sprinter construction appear to be nearly four week behind schedule although no one can say for sure,1
"though construction of the 22-mile railway from oceanside to escondido started more than six months ago, the transit district and west coast rail constructors, the official name of the limited partnership between fci and second contractor fluor corp., only recently agreed on a ""baseline"" construction schedule.",though construction of the mile railway from oceanside to escondido start more than six month ago the transit district and west coast rail constructor the official name of the limited partnership between fci and second contractor fluor corp only recently agree on a baseline construction schedule,0
"
hundreds of tasks, from clearing away brush to replacing several railroad grade crossings, have already been performed in the six months since the project started sept.",hundred of task from clear away brush to replace several railroad grade crossing have already be perform in the six month since the project start sept,0
"now west coast rail must examine each completed activity and determine whether it was finished on, ahead or behind schedule.",now west coast rail must examine each complete activity and determine whether it be finish on ahead or behind schedule,0
it's because building the sprinter line is a massively parallel endeavor.,it be because build the sprinter line be a massively parallel endeavor,0
"the only way to know, from one day to the next, whether the overall project is on track for on-time completion in december 2007, is to track each building activity separately.",the only way to know from one day to the next whether the overall project be on track for on time completion in december be to track each building activity separately,0
"if it takes longer than scheduled to build one section, then that delay can ripple throughout the entire project, causing other work in other sections of the line to be delayed or rescheduled.",if it take long than schedule to build one section then that delay can ripple throughout the entire project cause other work in other section of the line to be delay or reschedule,1
bullock said it generally does not take five months to agree on a construction schedule.,bullock say it generally do not take five month to agree on a construction schedule,0
"""usually the process takes two or three months, but this time it took longer because we kept going back and forth with revisions,"" bullock said.",usually the process take two or three month but this time it take long because we keep go back and forth with revision bullock say,0
"for information on republishing this content, contact us at (800) 661-2511 (u.s.), (213) 237-4914 (worldwide), fax (213) 237-6515, or e-mail reprints@krtinfo.com.copyright 2005provided by knight-ridder/tribune business news916 load-date: april 22, 2005  end of document",for information on republish this content contact us at u s worldwide fax or e mail reprints krtinfo com copyright provide by knight ridder tribune business news load date april end of document,0
"""the work done by [siemens transportation team] depends to a great extent on the timely completion by other contractors in the project,"" says robert jungkind, siemens project director.",the work do by siemens transportation team depend to a great extent on the timely completion by other contractor in the project say robert jungkind siemens project director,1
"he claims that because work by other contractors was supervised by prdot, the company had no control over their operations or schedule.",he claim that because work by other contractor be supervise by prdot the company have no control over their operation or schedule,0
"prdot granted extensions to the civil contractors but refused to apply those extensions to siemens, says the suit.",prdot grant extension to the civil contractor but refuse to apply those extension to siemens say the suit,0
"siemens officials would not comment further on the lawsuit, claiming prohibitions under its contract.",siemens official would not comment further on the lawsuit claim prohibition under its contract,0
a budget document presented to the board thursday states that the transfer of funds would not slow down the i-15 project and would be restored before they are needed.,a budget document present to the board thursday state that the transfer of fund would not slow down the i project and would be restore before they be need,0
"the district would have to scrounge for the additional $9 million through borrowing or through another, as-yet-undecided revenue source.",the district would have to scrounge for the additional million through borrowing or through another as yet undecided revenue source,0
"""there have been a number of design issues we have had to contend with on the project,"" lichterman said, though he did not elaborate on exactly what those issues were or how much they cost the project as a whole.",there have be a number of design issue we have have to contend with on the project lichterman say though he do not elaborate on exactly what those issue be or how much they cost the project as a whole,1
"when complete, the sprinter line will include 15 stations in oceanside, vista, san marcos and escondido and will stop at both palomar college and cal state san marcos.",when complete the sprinter line will include station in oceanside vista san marcos and escondido and will stop at both palomar college and cal state san marcos,0
at the time the district cited several reasons why the budget increased over its original $351 million estimate.,at the time the district cite several reason why the budget increase over its original million estimate,0
"a major contributor, lichterman said, was a need to keep the rail line open to freight traffic during construction so that three escondido manufacturing businesses could continue to receive regular delivery of raw materials.",a major contributor lichterman say be a need to keep the rail line open to freight traffic during construction so that three escondido manufacturing business could continue to receive regular delivery of raw material,0
"he said that because contractors can never remove more rail than they can replace in one week, the project generally has 15 to 17 separate construction crews working in different locations each week.",he say that because contractor can never remove more rail than they can replace in one week the project generally have to separate construction crew work in different location each week,0
"that means that after nearly three decades of planning, more than three years of construction and roughly $100 million in cost overruns, the new 22-mile passenger train between oceanside and escondido will, if all goes well, carry its first paying customers.",that mean that after nearly three decade of planning more than three year of construction and roughly million in cost overrun the new mile passenger train between oceanside and escondido will if all go well carry its first pay customer,0
"though the rail line has been nearly complete since late december, the sprinter has missed several startup dates this winter.",though the rail line have be nearly complete since late december the sprinter have miss several startup date this winter,0
"as of wednesday, the sprinter still lacked final safety approval from the california public utilities commission.",as of wednesday the sprinter still lack final safety approval from the california public utilities commission,0
"however, pete aadland, a spokesman for the north county transit district, said the district expects the commission's ok by the end of the week.",however pete aadland a spokesman for the north county transit district say the district expect the commission s ok by the end of the week,0
"
a crew of volunteers will be on hand for during operating hours for the first three weeks to help new riders understand how to use the ticket machines and to help them understand how the new system works.",a crew of volunteer will be on hand for during operating hour for the first three week to help new rider understand how to use the ticket machine and to help them understand how the new system work,0
"two of the sprinter stations come with special conditions: --the nordahl road station near mission avenue in san marcos does not yet have a parking lot, meaning that riders can board trains there, but will have to park elsewhere in the area.",two of the sprinter station come with special condition the nordahl road station near mission avenue in san marcos do not yet have a parking lot mean that rider can board train there but will have to park elsewhere in the area,0
"train schedules are only half of the changes due for transit riders this weekend, north county's breeze bus system is also due for a major overhaul to make it fit more closely with the new sprinter system, transit officials said.",train schedule be only half of the change due for transit rider this weekend north county s breeze bus system be also due for a major overhaul to make it fit more closely with the new sprinter system transit official say,0
the sprinter has been designed to serve as the bus system's backbone.,the sprinter have be design to serve as the bus system s backbone,0
but that strategy has failed to keep project costs from soaring.,but that strategy have fail to keep project cost from soar,0
"ten years after voters approved it, the project is $44 billion over budget and 13 years behind schedule.",ten year after voter approve it the project be billion over budget and year behind schedule,0
"a reckoning may be coming very soon, however.",a reckoning may be come very soon however,0
"
""we listened to their estimates,"" said quentin kopp, who was chairman of the rail board in 2008 but has since become an ardent critic.",we listen to their estimate say quentin kopp who be chairman of the rail board in but have since become an ardent critic,0
"it was given a new $700-million contract in 2015, despite warning signs that the project was headed for major cost overruns and had encountered serious delays.",it be give a new million contract in despite warning sign that the project be head for major cost overrun and have encounter serious delay,0
"gregory kelly, ceo of wsp usa, a new york city-based unit of the firm, defends the company's role in the project and says it brings world-class engineering, project management and environmental know-how that the state could.",gregory kelly ceo of wsp usa a new york city base unit of the firm defend the company s role in the project and say it bring world class engineering project management and environmental know how that the state could,0
"
at the time he was hired by the rail authority, some legislators were worried about potential conflicts of interest that morales could bring, but rail authority chairman dan richard said his board was ""deeply impressed by his extensive experience in large and complex transportation issues and projects."" -- contract amounts in millions of dollars tables not included source: california high-speed rail authority.",at the time he be hire by the rail authority some legislator be worried about potential conflict of interest that morale could bring but rail authority chairman dan richard say his board be deeply impressed by his extensive experience in large and complex transportation issue and project contract amount in million of dollar table not include source california high speed rail authority,0
